,wind_950mb,wind_900mb,wind_850mb,wind_800mb,wind_750mb,wind_700mb,wind_650mb,wind_600mb,wind_550mb,wind_500mb,wind_450mb,wind_400mb,wind_350mb,wind_300mb,wind_250mb,wind_200mb,rh_950mb,rh_900mb,rh_850mb,rh_800mb,rh_750mb,rh_700mb,rh_650mb,rh_600mb,rh_550mb,rh_500mb,rh_450mb,rh_400mb,rh_350mb,rh_300mb,rh_250mb,rh_200mb,timepoint,cloudcover,highcloud,midcloud,lowcloud,temp2m,lifted_index,rh2m,msl_pressure,prec_amount,snow_depth,wind10m.direction,wind10m.speed,year,type,country,age,species_,fecha_limpia,fatal,sex,latitud,longitud,country2,fatal_N,fatal_Unknown,fatal_Y,fatal_N.1,fatal_Unknown.1,fatal_Y.1,species_.1,fecha_limpia.1,type.1,age_NORM
821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Provoked,usa,27.0,Tiger shark,Dec,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,6.313925056346614
822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Boating,south africa,35.0,Unespecific,Dec,N,M,-28.8166236,24.991639,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,7.203188258363141
823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,51.0,White shark,Dec,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,7.0,8.650041308669444
824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Invalid,south africa,27.0,Tiger shark,Dec,Unknown,M,-28.8166236,24.991639,HS,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,6.313925056346614
825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,14.0,Unespecific,Dec,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,7.0,4.401298165473145
826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,27.0,Unespecific,Dec,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,7.0,6.313925056346614
827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Invalid,australia,27.0,Tiger shark,Dec,Unknown,M,-24.7761086,134.755,HS,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,6.313925056346614
828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,63.0,Unespecific,Dec,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,7.0,9.552135299137207
830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,10.0,Unespecific,Nov,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,7.0,3.58302947382199
831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Boating,usa,27.0,White shark,Nov,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,4.0,11.0,1.0,6.313925056346614
832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,papua new guinea,27.0,Unespecific,Nov,N,M,-5.6816069,144.2489081,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,7.0,6.313925056346614
835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,27.0,White shark,Oct,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,4.0,12.0,7.0,6.313925056346614
837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Provoked,south africa,27.0,Tiger shark,Oct,N,M,-28.8166236,24.991639,HS,1.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,4.0,6.313925056346614
838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,32.0,White shark,Oct,Y,M,-24.7761086,134.755,HS,0.0,0.0,1.0,0.0,0.0,1.0,4.0,12.0,7.0,6.886696297701842
839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,41.0,White shark,Oct,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,4.0,12.0,7.0,7.787508352596997
840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,50.0,Tiger shark,Oct,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,7.0,8.568961017177946
841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,27.0,Unespecific,Oct,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,6.313925056346614
842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,27.0,Tiger shark,Oct,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,12.0,7.0,6.313925056346614
843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,64.0,Unespecific,Oct,Y,M,-24.7761086,134.755,HS,0.0,0.0,1.0,0.0,0.0,1.0,3.0,12.0,7.0,9.6221495246514
845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,27.0,Unespecific,Oct,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,6.313925056346614
846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,29.0,Unespecific,Oct,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,6.550576128997467
847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Invalid,usa,27.0,Tiger shark,Sep,Unknown,M,39.7837304,-100.445882,HN,0.0,1.0,0.0,0.0,1.0,0.0,2.0,13.0,3.0,6.313925056346614
849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,south africa,43.0,White shark,Sep,N,M,-28.8166236,24.991639,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,13.0,7.0,7.970004721350402
850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,21.0,Lemon shark,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,7.0,5.528303710887473
851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,5.0,Unespecific,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,7.0,2.179340045518152
852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Boat,usa,27.0,Unespecific,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,0.0,6.313925056346614
855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,25.0,Tiger shark,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,13.0,7.0,6.06575989245481
856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,37.0,Unespecific,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,7.0,7.404632331573262
857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,papua new guinea,30.0,Tiger shark,Sep,N,M,-5.6816069,144.2489081,HS,1.0,0.0,0.0,1.0,0.0,0.0,2.0,13.0,7.0,6.664991716935973
858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,27.0,Unespecific,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,7.0,6.313925056346614
859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,21.0,White shark,Sep,Y,M,-24.7761086,134.755,HS,0.0,0.0,1.0,0.0,0.0,1.0,4.0,13.0,7.0,5.528303710887473
860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,19.0,Tiger shark,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,13.0,7.0,5.234668409736022
861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,19.0,Unespecific,Aug,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,7.0,5.234668409736022
862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Invalid,australia,48.0,Tiger shark,Aug,Unknown,M,-24.7761086,134.755,HS,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,8.40362856936233
863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,39.0,Unespecific,Aug,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,7.0,7.599216268263662
865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,21.0,Unespecific,Aug,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,7.0,5.528303710887473
866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,10.0,Unespecific,Aug,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,7.0,3.58302947382199
867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,south africa,49.0,White shark,Aug,Y,M,-28.8166236,24.991639,HS,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,7.0,8.48683518430107
869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,20.0,Tiger shark,Aug,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,7.0,5.383838360482004
870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Invalid,usa,12.0,Tiger shark,Aug,Unknown,M,39.7837304,-100.445882,HN,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,4.014118284080704
873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,27.0,Unespecific,Aug,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,7.0,6.313925056346614
875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Invalid,usa,7.0,Tiger shark,Aug,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.8171618157744365
876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,54.0,Unespecific,Aug,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,7.0,8.887334884989867
880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,27.0,Unespecific,Jul,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,7.0,6.313925056346614
881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,south africa,29.0,White shark,Jul,N,M,-28.8166236,24.991639,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,7.0,6.550576128997467
882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,6.0,Unespecific,Jul,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,7.0,2.515363934617539
885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,12.0,Unespecific,Jul,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,7.0,4.014118284080704
886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,14.0,Unespecific,Jul,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,7.0,4.401298165473145
891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,south africa,22.0,Lemon shark,Jun,N,M,-28.8166236,24.991639,HS,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,7.0,5.668426724383542
892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,10.0,Lemon shark,Jun,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,7.0,3.58302947382199
893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,27.0,White shark,Jun,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,7.0,6.313925056346614
894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,20.0,Unespecific,Jun,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,7.0,5.383838360482004
899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,28.0,Tiger shark,Jun,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,7.0,6.433604428309159
901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,28.0,Tiger shark,Jun,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,7.0,6.433604428309159
902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,19.0,Tiger shark,Jun,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,7.0,5.234668409736022
904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,22.0,Unespecific,May,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,7.0,5.668426724383542
905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,south africa,33.0,White shark,May,N,M,-28.8166236,24.991639,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,9.0,7.0,6.994228303440125
906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,27.0,Tiger shark,May,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,7.0,6.313925056346614
907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,27.0,Tiger shark,May,N,F,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,9.0,7.0,6.313925056346614
908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,south africa,28.0,Unespecific,May,Y,M,-28.8166236,24.991639,HS,0.0,0.0,1.0,0.0,0.0,1.0,3.0,9.0,7.0,6.433604428309159
909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,86.0,Unespecific,May,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,7.0,11.01193803268147
911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,37.0,Unespecific,May,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,7.0,7.404632331573262
912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Provoked,usa,27.0,Unespecific,May,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,4.0,6.313925056346614
914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,south africa,37.0,Unespecific,May,N,M,-28.8166236,24.991639,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,7.0,7.404632331573262
915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,32.0,Lemon shark,Apr,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,6.886696297701842
916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,17.0,Unespecific,Apr,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,7.0,4.9204987475712345
917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,usa,49.0,Tiger shark,Apr,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,8.48683518430107
918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,new zealand,41.0,Lemon shark,Apr,N,M,-41.5000831,172.8344077,HS,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,7.787508352596997
921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Provoked,usa,27.0,Tiger shark,Mar,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,4.0,6.313925056346614
923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,48.0,Lemon shark,Mar,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,7.0,8.40362856936233
926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,24.0,Tiger shark,Mar,N,F,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,7.0,5.936887022671936
928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,27.0,Unespecific,Mar,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,7.0,6.313925056346614
929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Provoked,australia,36.0,Lemon shark,Feb,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,7.304806540050455
932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,49.0,White shark,Feb,Y,M,-24.7761086,134.755,HS,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,7.0,8.48683518430107
933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Provoked,australia,27.0,Unespecific,Feb,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,4.0,6.313925056346614
934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,australia,58.0,Unespecific,Feb,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,9.190937196209264
936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,south africa,37.0,Unespecific,Feb,N,M,-28.8166236,24.991639,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,7.0,7.404632331573262
940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Invalid,australia,7.0,Tiger shark,Jan,Unknown,F,-24.7761086,134.755,HS,0.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,3.0,2.8171618157744365
941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Unprovoked,south africa,16.0,Unespecific,Jan,Y,M,-28.8166236,24.991639,HS,0.0,0.0,1.0,0.0,0.0,1.0,3.0,5.0,7.0,4.754472937004027
943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011.0,Boat,australia,27.0,White shark,Jan,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,5.0,0.0,6.313925056346614
944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,usa,16.0,Unespecific,Dec,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,7.0,4.754472937004027
946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,usa,46.0,Unespecific,Dec,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,7.0,8.233822118168822
954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Invalid,australia,27.0,Tiger shark,Nov,Unknown,M,-24.7761086,134.755,HS,0.0,1.0,0.0,0.0,1.0,0.0,2.0,11.0,3.0,6.313925056346614
955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Provoked,usa,33.0,Unespecific,Nov,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,4.0,6.994228303440125
958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Boat,australia,27.0,White shark,Nov,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,11.0,0.0,6.313925056346614
959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,australia,20.0,White shark,Oct,N,F,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,4.0,12.0,7.0,5.383838360482004
960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,australia,27.0,Unespecific,Oct,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,6.313925056346614
961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,usa,27.0,Unespecific,Oct,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,6.313925056346614
963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,usa,30.0,Lemon shark,Oct,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,7.0,6.664991716935973
964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,australia,14.0,Unespecific,Oct,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,4.401298165473145
965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,usa,19.0,White shark,Oct,Y,M,39.7837304,-100.445882,HN,0.0,0.0,1.0,0.0,0.0,1.0,4.0,12.0,7.0,5.234668409736022
967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,australia,22.0,Lemon shark,Oct,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,1.0,12.0,7.0,5.668426724383542
970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,south africa,27.0,Unespecific,Oct,N,M,-28.8166236,24.991639,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,7.0,6.313925056346614
971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,usa,29.0,White shark,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,4.0,13.0,7.0,6.550576128997467
972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,usa,18.0,Unespecific,Sep,N,M,39.7837304,-100.445882,HN,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,7.0,5.08038032862004
973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,south africa,29.0,White shark,Sep,Y,M,-28.8166236,24.991639,HS,0.0,0.0,1.0,0.0,0.0,1.0,4.0,13.0,7.0,6.550576128997467
974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010.0,Unprovoked,australia,15.0,Unespecific,Sep,N,M,-24.7761086,134.755,HS,1.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,7.0,4.581659276135893
